               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083763,            0.049948,            0.015717,             0.55819,              0.5964,             0.58468,              0.2324,            0.058144,            0.036287,           0.0054274,           0.0033243,           0.0033243,            0.070081
                   1,            0.060221,            0.044652,            0.004652,             0.85531,             0.75772,             0.83357,             0.39975,            0.043864,            0.034628,           0.0036279,           0.0065918,           0.0065918,            0.040015
                   2,            0.054168,            0.043421,           0.0036009,             0.78784,             0.78843,             0.82912,             0.40264,            0.042715,            0.034003,           0.0031213,           0.0097932,           0.0097932,            0.009883
                   3,            0.049158,            0.042267,             0.00303,             0.90272,              0.8028,             0.87566,             0.48055,            0.037606,            0.033443,           0.0022395,            0.009703,            0.009703,            0.009703
                   4,            0.045379,            0.042007,           0.0023659,             0.88319,             0.82998,             0.88113,             0.49378,            0.036886,            0.032543,            0.001738,            0.009703,            0.009703,            0.009703
                   5,            0.043624,            0.041351,           0.0020831,             0.89677,             0.83262,             0.88874,             0.49862,            0.035567,            0.032331,           0.0017746,            0.009604,            0.009604,            0.009604
                   6,             0.04197,            0.040064,           0.0019206,             0.91628,             0.83545,             0.89688,             0.51209,            0.035304,            0.031756,           0.0013706,            0.009505,            0.009505,            0.009505
                   7,            0.041697,            0.040847,           0.0016983,             0.91221,             0.83045,             0.89332,             0.50719,            0.035131,            0.031787,            0.001653,            0.009406,            0.009406,            0.009406
                   8,            0.040945,            0.040589,           0.0016008,             0.90953,             0.83889,              0.8978,             0.51745,            0.035319,            0.031774,           0.0012698,            0.009307,            0.009307,            0.009307
                   9,            0.040627,            0.039844,           0.0014729,             0.92029,             0.84274,             0.90308,             0.51613,             0.03494,            0.031255,           0.0014686,            0.009208,            0.009208,            0.009208
                  10,            0.039868,            0.039357,           0.0014981,             0.92051,             0.84236,             0.90408,             0.52645,            0.034239,            0.031299,           0.0013532,            0.009109,            0.009109,            0.009109
                  11,            0.039621,            0.039176,           0.0014582,             0.91121,             0.84609,             0.90321,             0.52611,            0.034355,            0.031222,           0.0012217,             0.00901,             0.00901,             0.00901
                  12,            0.039376,            0.038853,           0.0014618,             0.91452,             0.85019,             0.90676,              0.5296,            0.033773,            0.031101,           0.0014593,            0.008911,            0.008911,            0.008911
                  13,            0.039093,            0.039095,            0.001293,             0.92012,             0.84579,             0.90702,             0.53364,            0.033839,             0.03115,           0.0012785,            0.008812,            0.008812,            0.008812
                  14,            0.038593,            0.038566,           0.0012642,             0.90188,              0.8617,             0.90845,              0.5308,            0.033773,            0.031172,           0.0012362,            0.008713,            0.008713,            0.008713
                  15,            0.038506,            0.038989,           0.0012445,             0.90985,             0.86168,             0.91084,             0.53541,            0.033672,            0.031025,           0.0011393,            0.008614,            0.008614,            0.008614
                  16,            0.038252,            0.038752,           0.0011667,             0.92132,             0.85347,             0.91264,             0.54079,            0.033199,            0.030566,           0.0011619,            0.008515,            0.008515,            0.008515
                  17,            0.037969,            0.037477,           0.0012445,             0.91455,             0.85784,             0.91313,             0.54198,            0.033076,            0.031001,             0.00109,            0.008416,            0.008416,            0.008416
                  18,            0.038313,            0.038778,           0.0011448,             0.92601,              0.8457,             0.90978,              0.5349,            0.033455,            0.031004,           0.0012864,            0.008317,            0.008317,            0.008317
                  19,            0.038081,            0.038136,           0.0011228,             0.91735,             0.86092,             0.91072,             0.53629,            0.033354,            0.030791,           0.0010712,            0.008218,            0.008218,            0.008218
                  20,            0.037686,            0.037976,           0.0011285,             0.91427,             0.86545,             0.91488,             0.54766,            0.032858,            0.030577,           0.0011029,            0.008119,            0.008119,            0.008119
