               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032712,            0.032578,          0.00049478,              0.9293,             0.87802,             0.92503,             0.56548,            0.031897,            0.030831,           0.0011335,             0.00307,             0.00307,             0.00307
                  37,            0.032548,            0.032513,          0.00044104,             0.93359,             0.87336,             0.92536,             0.56608,            0.031835,            0.030645,           0.0010763,            0.002872,            0.002872,            0.002872
                  38,             0.03225,            0.032748,          0.00044286,              0.9361,             0.87096,             0.92621,              0.5677,             0.03181,            0.030782,           0.0010435,            0.002674,            0.002674,            0.002674
                  39,            0.032301,             0.03207,          0.00048431,             0.93434,             0.87253,             0.92544,             0.56873,            0.031745,            0.030913,           0.0010297,            0.002476,            0.002476,            0.002476
                  40,            0.032122,            0.031701,          0.00041836,             0.93091,              0.8771,             0.92674,             0.56915,            0.031714,             0.03082,           0.0010299,            0.002278,            0.002278,            0.002278
                  41,             0.03214,              0.0325,          0.00042782,             0.92988,             0.87474,             0.92659,             0.57024,            0.031703,            0.030874,           0.0010094,             0.00208,             0.00208,             0.00208
                  42,            0.032009,            0.032027,          0.00040653,             0.93137,             0.87589,             0.92611,             0.56868,            0.031739,            0.030968,           0.0010266,            0.001882,            0.001882,            0.001882
                  43,            0.031856,            0.032511,          0.00038343,             0.93033,             0.87816,             0.92698,             0.56937,            0.031691,            0.030793,          0.00097496,            0.001684,            0.001684,            0.001684
                  44,            0.031692,            0.031829,          0.00034971,             0.93423,             0.87228,             0.92657,             0.56881,             0.03172,            0.030997,           0.0010768,            0.001486,            0.001486,            0.001486
                  45,            0.031817,            0.031857,          0.00038119,             0.93108,             0.87755,             0.92664,              0.5697,            0.031695,            0.030875,           0.0010187,            0.001288,            0.001288,            0.001288
                  46,            0.031581,            0.031832,          0.00036336,             0.93847,             0.87375,             0.92856,             0.57153,            0.031637,            0.030818,           0.0010047,             0.00109,             0.00109,             0.00109
                  47,            0.031429,            0.031587,          0.00035678,             0.94086,             0.87104,             0.92877,             0.57142,            0.031637,            0.030826,           0.0010141,            0.000892,            0.000892,            0.000892
                  48,            0.031448,            0.031973,          0.00036193,             0.93039,              0.8789,              0.9276,             0.57251,            0.031651,            0.030945,           0.0010334,            0.000694,            0.000694,            0.000694
                  49,            0.031366,            0.031244,          0.00038769,             0.93114,             0.87711,             0.92799,             0.57351,            0.031563,            0.030894,           0.0010139,            0.000496,            0.000496,            0.000496
